iter	Passed	Remaining
0	2	238
1	2	134
2	3	113
3	3	93
4	4	79
5	4	70
6	4	63
7	5	58
8	5	54
9	5	50
10	5	47
11	6	45
12	6	43
13	6	42
14	7	40
15	7	39
16	7	37
17	7	36
18	8	35
19	8	34
20	8	33
21	9	32
22	9	31
23	9	30
24	10	30
25	10	29
26	10	28
27	10	28
28	11	27
29	11	26
30	11	26
31	12	25
32	12	24
33	12	24
34	12	23
35	13	23
36	13	22
37	13	22
38	13	21
39	14	21
40	14	20
41	14	20
42	14	19
43	15	19
44	15	19
45	15	18
46	16	18
47	16	17
48	16	17
49	16	16
50	17	16
51	17	16
52	17	15
53	18	15
54	18	14
55	18	14
56	18	14
57	19	13
58	19	13
59	19	13
60	20	12
61	20	12
62	20	12
63	20	11
64	21	11
65	21	11
66	21	10
67	22	10
68	22	10
69	22	9
70	22	9
71	23	9
72	23	8
73	23	8
74	24	8
75	24	7
76	24	7
77	24	7
78	25	6
79	25	6
80	25	6
81	26	5
82	26	5
83	26	5
84	26	4
85	27	4
86	27	4
87	27	3
88	28	3
89	28	3
90	28	2
91	29	2
92	29	2
93	29	1
94	30	1
95	30	1
96	30	0
97	30	0
98	31	0
99	31	0
